Date,Year,co2
1800-01-01,1800,0.253
1801-01-01,1801,0.267
1802-01-01,1802,0.289
1803-01-01,1803,0.297
1804-01-01,1804,0.333
1805-01-01,1805,0.341
1806-01-01,1806,0.333
1807-01-01,1807,0.377
1808-01-01,1808,0.392
1809-01-01,1809,0.403
1810-01-01,1810,0.418
1811-01-01,1811,0.447
1812-01-01,1812,0.484
1813-01-01,1813,0.52
1814-01-01,1814,0.561
1815-01-01,1815,0.601
1816-01-01,1816,0.663
1817-01-01,1817,0.718
1818-01-01,1818,0.78
1819-01-01,1819,0.762
1820-01-01,1820,0.791
1821-01-01,1821,0.828
1822-01-01,1822,0.865
1823-01-01,1823,0.901
1824-01-01,1824,1.015
1825-01-01,1825,1.136
1826-01-01,1826,1.315
1827-01-01,1827,1.447
1828-01-01,1828,1.594
1829-01-01,1829,1.795
1830-01-01,1830,2.088
1831-01-01,1831,2.264
1832-01-01,1832,3.023
1833-01-01,1833,3.528
1834-01-01,1834,3.382
1835-01-01,1835,4.316
1836-01-01,1836,4.73
1837-01-01,1837,5.305
1838-01-01,1838,5.031
1839-01-01,1839,5.518
1840-01-01,1840,5.873
1841-01-01,1841,6.214
1842-01-01,1842,6.918
1843-01-01,1843,7.764
1844-01-01,1844,9.307
1845-01-01,1845,11.205
1846-01-01,1846,12.71
1847-01-01,1847,15.07
1848-01-01,1848,16.785
1849-01-01,1849,18.221
1850-01-01,1850,19.793
1851-01-01,1851,24.633
1852-01-01,1852,26.791
1853-01-01,1853,30.162
1854-01-01,1854,33.159
1855-01-01,1855,38.161
1856-01-01,1856,40.037
1857-01-01,1857,41.055
1858-01-01,1858,41.649
1859-01-01,1859,45.32
1860-01-01,1860,47.438
1861-01-01,1861,45.679
1862-01-01,1862,47.449
1863-01-01,1863,54.81
1864-01-01,1864,58.657
1865-01-01,1865,58.822
1866-01-01,1866,59.232
1867-01-01,1867,72.866
1868-01-01,1868,82.352
1869-01-01,1869,93.696
1870-01-01,1870,98.62
1871-01-01,1871,103.021
1872-01-01,1872,126.305
1873-01-01,1873,139.507
1874-01-01,1874,134.297
1875-01-01,1875,135.748
1876-01-01,1876,132.82
1877-01-01,1877,147.176
1878-01-01,1878,143.904
1879-01-01,1879,175.469
1880-01-01,1880,198.684
1881-01-01,1881,210.193
1882-01-01,1882,235.394
1883-01-01,1883,253.883
1884-01-01,1884,267.59
1885-01-01,1885,272.162
1886-01-01,1886,287.463
1887-01-01,1887,307.381
1888-01-01,1888,373.875
1889-01-01,1889,335.542
1890-01-01,1890,401.747
1891-01-01,1891,427.425
1892-01-01,1892,450.449
1893-01-01,1893,454.095
1894-01-01,1894,425.05
1895-01-01,1895,479.948
1896-01-01,1896,480.882
1897-01-01,1897,500.287
1898-01-01,1898,545.321
1899-01-01,1899,625.534
1900-01-01,1900,662.738
1901-01-01,1901,721.528
1902-01-01,1902,764.496
1903-01-01,1903,894.407
1904-01-01,1904,882.058
1905-01-01,1905,986.482
1906-01-01,1906,1035.471
1907-01-01,1907,1203.861
1908-01-01,1908,1052.813
1909-01-01,1909,1165.706
1910-01-01,1910,1271.582
1911-01-01,1911,1258.667
1912-01-01,1912,1343.565
1913-01-01,1913,1442.542
1914-01-01,1914,1317.98
1915-01-01,1915,1367.697
1916-01-01,1916,1518.981
1917-01-01,1917,1670.971
1918-01-01,1918,1747.718
1919-01-01,1919,1479.159
1920-01-01,1920,1738.246
1921-01-01,1921,1423.669
1922-01-01,1922,1435.758
1923-01-01,1923,1896.736
1924-01-01,1924,1698.32
1925-01-01,1925,1758.098
1926-01-01,1926,1905.959
1927-01-01,1927,1862.746
1928-01-01,1928,1830.87
1929-01-01,1929,1963.414
1930-01-01,1930,1744.828
1931-01-01,1931,1484.893
1932-01-01,1932,1257.773
1933-01-01,1933,1348.842
1934-01-01,1934,1436.196
1935-01-01,1935,1492.28
1936-01-01,1936,1713.35
1937-01-01,1937,1792.546
1938-01-01,1938,1515.693
1939-01-01,1939,1670.854
1940-01-01,1940,1874.914
1941-01-01,1941,2043.496
1942-01-01,1942,2198.166
1943-01-01,1943,2271.985
1944-01-01,1944,2444.854
1945-01-01,1945,2359.495
1946-01-01,1946,2257.404
1947-01-01,1947,2485.752
1948-01-01,1948,2582.445
1949-01-01,1949,2164.747
1950-01-01,1950,2541.361
1951-01-01,1951,2618.576
1952-01-01,1952,2551.082
1953-01-01,1953,2612.826
1954-01-01,1954,2489.314
1955-01-01,1955,2728.348
1956-01-01,1956,2859.82
1957-01-01,1957,2835.606
1958-01-01,1958,2746.937
1959-01-01,1959,2831.737
1960-01-01,1960,2897.138
1961-01-01,1961,2886.696
1962-01-01,1962,2993.718
1963-01-01,1963,3126.294
1964-01-01,1964,3264.111
1965-01-01,1965,3399.342
1966-01-01,1966,3571.209
1967-01-01,1967,3705.254
1968-01-01,1968,3840.702
1969-01-01,1969,4034.926
1970-01-01,1970,4339.471
1971-01-01,1971,4365.247
1972-01-01,1972,4572.791
1973-01-01,1973,4784.823
1974-01-01,1974,4620.82
1975-01-01,1975,4478.038
1976-01-01,1976,4747.563
1977-01-01,1977,4889.398
1978-01-01,1978,4941.142
1979-01-01,1979,5008.359
1980-01-01,1980,4808.296
1981-01-01,1981,4686.172
1982-01-01,1982,4447.08
1983-01-01,1983,4429.187
1984-01-01,1984,4661.921
1985-01-01,1985,4652.383
1986-01-01,1986,4663.165
1987-01-01,1987,4825.445
1988-01-01,1988,5050.268
1989-01-01,1989,5131.927
1990-01-01,1990,5113.455
1991-01-01,1991,5057.931
1992-01-01,1992,5167.481
1993-01-01,1993,5267.343
1994-01-01,1994,5358.824
1995-01-01,1995,5421.502
1996-01-01,1996,5610.582
1997-01-01,1997,5686.465
1998-01-01,1998,5731.05
1999-01-01,1999,5804.669
2000-01-01,2000,6010.508
2001-01-01,2001,5904.882
2002-01-01,2002,5946.771
2003-01-01,2003,6011.837
2004-01-01,2004,6114.007
2005-01-01,2005,6134.521
2006-01-01,2006,6051.668
2007-01-01,2007,6131.004
2008-01-01,2008,5914.078
2009-01-01,2009,5478.21
2010-01-01,2010,5675.786
2011-01-01,2011,5540.173
2012-01-01,2012,5338.698
2013-01-01,2013,5474.257
2014-01-01,2014,5522.807
2015-01-01,2015,5371.771
2016-01-01,2016,5248.024
2017-01-01,2017,5207.751
2018-01-01,2018,5375.491
2019-01-01,2019,5255.816
2020-01-01,2020,4712.771
2021-01-01,2021,5025.201171875
2022-01-01,2022,5038.24853515625
2023-01-01,2023,5034.46484375
2024-01-01,2024,5069.34130859375
2025-01-01,2025,5159.45654296875
2026-01-01,2026,5237.349609375
2027-01-01,2027,5326.435546875
2028-01-01,2028,5423.84521484375
2029-01-01,2029,5523.77587890625
2030-01-01,2030,5578.49462890625
2031-01-01,2031,5655.5205078125
2032-01-01,2032,5726.35986328125
2033-01-01,2033,5772.8984375
2034-01-01,2034,5761.21435546875
2035-01-01,2035,5814.7548828125
2036-01-01,2036,5872.71728515625
2037-01-01,2037,5899.20849609375
2038-01-01,2038,5895.134765625
2039-01-01,2039,5851.376953125
2040-01-01,2040,5730.13134765625
2041-01-01,2041,5553.9560546875
2042-01-01,2042,5437.388671875
2043-01-01,2043,5426.22119140625
2044-01-01,2044,5338.94482421875
2045-01-01,2045,5319.591796875
2046-01-01,2046,5355.1923828125
2047-01-01,2047,5300.283203125
2048-01-01,2048,5198.19580078125
2049-01-01,2049,5172.4873046875
2050-01-01,2050,5189.4619140625
