Date,Year,Number of Natural Disasters
1900-01-01,1900,5.0
1901-01-01,1901,2.0
1902-01-01,1902,9.0
1903-01-01,1903,8.0
1904-01-01,1904,2.0
1905-01-01,1905,4.0
1906-01-01,1906,17.0
1907-01-01,1907,5.0
1908-01-01,1908,4.0
1909-01-01,1909,11.0
1910-01-01,1910,15.0
1911-01-01,1911,5.0
1912-01-01,1912,7.0
1913-01-01,1913,5.0
1914-01-01,1914,6.0
1915-01-01,1915,7.0
1916-01-01,1916,2.0
1917-01-01,1917,6.0
1918-01-01,1918,7.0
1919-01-01,1919,4.0
1920-01-01,1920,7.0
1921-01-01,1921,2.0
1922-01-01,1922,6.0
1923-01-01,1923,12.0
1924-01-01,1924,4.0
1925-01-01,1925,6.0
1926-01-01,1926,15.0
1927-01-01,1927,12.0
1928-01-01,1928,17.0
1929-01-01,1929,6.0
1930-01-01,1930,14.0
1931-01-01,1931,12.0
1932-01-01,1932,8.0
1933-01-01,1933,10.0
1934-01-01,1934,9.0
1935-01-01,1935,11.0
1936-01-01,1936,11.0
1937-01-01,1937,7.0
1938-01-01,1938,7.0
1939-01-01,1939,11.0
1940-01-01,1940,17.0
1941-01-01,1941,5.0
1942-01-01,1942,9.0
1943-01-01,1943,12.0
1944-01-01,1944,12.0
1945-01-01,1945,12.0
1946-01-01,1946,15.0
1947-01-01,1947,12.0
1948-01-01,1948,23.0
1949-01-01,1949,20.0
1950-01-01,1950,23.0
1951-01-01,1951,27.0
1952-01-01,1952,24.0
1953-01-01,1953,34.0
1954-01-01,1954,33.0
1955-01-01,1955,30.0
1956-01-01,1956,36.0
1957-01-01,1957,29.0
1958-01-01,1958,23.0
1959-01-01,1959,33.0
1960-01-01,1960,40.0
1961-01-01,1961,28.0
1962-01-01,1962,28.0
1963-01-01,1963,41.0
1964-01-01,1964,60.0
1965-01-01,1965,61.0
1966-01-01,1966,80.0
1967-01-01,1967,70.0
1968-01-01,1968,77.0
1969-01-01,1969,62.0
1970-01-01,1970,77.0
1971-01-01,1971,61.0
1972-01-01,1972,63.0
1973-01-01,1973,60.0
1974-01-01,1974,68.0
1975-01-01,1975,63.0
1976-01-01,1976,91.0
1977-01-01,1977,121.0
1978-01-01,1978,115.0
1979-01-01,1979,120.0
1980-01-01,1980,133.0
1981-01-01,1981,138.0
1982-01-01,1982,153.0
1983-01-01,1983,205.0
1984-01-01,1984,146.0
1985-01-01,1985,165.0
1986-01-01,1986,150.0
1987-01-01,1987,191.0
1988-01-01,1988,200.0
1989-01-01,1989,172.0
1990-01-01,1990,278.0
1991-01-01,1991,228.0
1992-01-01,1992,204.0
1993-01-01,1993,260.0
1994-01-01,1994,246.0
1995-01-01,1995,248.0
1996-01-01,1996,227.0
1997-01-01,1997,261.0
1998-01-01,1998,288.0
1999-01-01,1999,337.0
2000-01-01,2000,411.0
2001-01-01,2001,376.0
2002-01-01,2002,421.0
2003-01-01,2003,360.0
2004-01-01,2004,350.0
2005-01-01,2005,432.0
2006-01-01,2006,401.0
2007-01-01,2007,414.0
2008-01-01,2008,352.0
2009-01-01,2009,344.0
2010-01-01,2010,393.0
2011-01-01,2011,334.0
2012-01-01,2012,346.0
2013-01-01,2013,332.0
2014-01-01,2014,320.0
2015-01-01,2015,380.0
2016-01-01,2016,325.0
2017-01-01,2017,276.0
2018-01-01,2018,282.0
2019-01-01,2019,385.5168151855469
2020-01-01,2020,347.4372863769531
2021-01-01,2021,369.1720886230469
2022-01-01,2022,405.52630615234375
2023-01-01,2023,392.5464172363281
2024-01-01,2024,378.85479736328125
2025-01-01,2025,340.72113037109375
2026-01-01,2026,352.7554626464844
2027-01-01,2027,360.78118896484375
2028-01-01,2028,330.8885192871094
2029-01-01,2029,333.0577697753906
2030-01-01,2030,320.6680603027344
2031-01-01,2031,334.2317810058594
2032-01-01,2032,350.2352600097656
2033-01-01,2033,300.95867919921875
